index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यतः	1	यतः	यतः{अव्य}/यत{पुं}{1;एक}	यतः{अव्य}	हेतुः,2.1;नित्यसम्बन्धः,9.1	हेतुः,2.1;नित्यसम्बन्धः,9.1	NA	जिस_परमेश्वर_से	from_whom	-	-
2.1	प्रवृत्तिः	3	प्रवृत्तिर्भूतानां	प्रवृत्ति{स्त्री}{1;एक}	प्रवृत्ति{स्त्री}{1;एक}	कर्ता,3.1.1	कर्ता,3.1.1	N1	उत्पत्ति	the_emanation	-	-
3.1	भूतानाम्	2	0	भूत{पुं}{6;बहु}/भूत{नपुं}{6;बहु}/भूता{स्त्री}{6;बहु}/भूता{स्त्री}{6;बहु}	भूत{पुं}{6;बहु}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,2.1	N6	सम्पूर्ण_प्राणियों_की	of_all_living_entities	-	-
3.1.1	(भवति)	4	(0)	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}/भवत्{पुं}{7;एक})	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	अभिहित_कर्ता,2.1;अकर्मकः.1	अभिहित_कर्ता,2.1;अकर्मकः.1	KP	(होती_है)	becomes	-	-
4.1	येन	5	येन	येन{अव्य}/यद्{पुं}{3;एक}/यद्{नपुं}{3;एक}	यद्{पुं}{3;एक}	कर्ता,7.1;नित्यसम्बन्धः,9.1	कर्ता,7.1;नित्यसम्बन्धः,9.1	N3	जिससे	by_whom	-	-
5.1	सर्वम्	7	सर्वमिदं	सर्व{पुं}{2;एक}/सर्व{नपुं}{1;एक}/सर्व{नपुं}{2;एक}	सर्व{नपुं}{1;एक}	कर्म,7.1	कर्म,7.1	N1	समस्त_जगत्	all	-	-
6.1	इदम्	6	0	इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक}	इदम्{नपुं}{1;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N1	यह	this	-	-
7.1	ततम्	8	0	तन्1{कृत्_प्रत्ययः:क्त;तनुँ;तनादिः;नपुं}{1;एक}	तन्1{कृत्_प्रत्ययः:क्त;तनुँ;तनादिः;नपुं}{1;एक}	अभिहित_कर्म,5.1;सकर्मकः.1	अभिहित_कर्म,5.1;सकर्मकः.1	N1	व्याप्त	pervaded	-	-
8.1	स्व-	11	स्वकर्मणा	स्वकर्मन्{नपुं}{3;एक}	स्व	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	CP	अपने_स्वाभाविक_कर्मों_द्वारा	in_his_own_duties	<स्व-कर्मणा>T6	-
8.2	कर्मणा	-	-		कर्मन्{नपुं}{3;एक}	करणम्,10.1	करणम्,10.1	N3				-
9.1	तम्	10	तमभ्यर्च्य	तद्{पुं}{2;एक}	तद्{पुं}{2;एक}	कर्म,10.1	कर्म,10.1	N2	उसकी_(परमेश्वर_की)	him	-	-
10.1	अभ्यर्च्य	12	0	अभि_ऋच्1{कृत्_प्रत्ययः:ल्यप्;ऋचँ;तुदादिः}/अभि_अर्च्1{कृत्_प्रत्ययः:ल्यप्;अर्चँ;भ्वादिः}/अभि_अर्च्2{कृत्_प्रत्ययः:ल्यप्;अर्चँ;चुरादिः}	अभि_अर्च्1{कृत्_प्रत्ययः:ल्यप्;अभि_अर्चँ;भ्वादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA	पूजा_करके	by_worshiping	-	-
11.1	सिद्धिम्	14	सिद्धिं	सिद्धि{स्त्री}{2;एक}	सिद्धि{स्त्री}{2;एक}	कर्म,12.1	कर्म,12.1	N2	परम_सिद्धि_को	perfection	-	-
12.1	विन्दति	15	विन्दति	विद्3{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः}	विद्3{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः}	अभिहित_कर्ता,13.1;सकर्मकः.1	अभिहित_कर्ता,13.1;सकर्मकः.1	KP	प्राप्त_हो_जाता_है	achieves	-	-
13.1	मानवः	13	मानवः	मानव{पुं}{1;एक}	मानव{पुं}{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मनुष्य	a_man	-	-
