index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अ-	2	अदृष्टपूर्वं	अ	अदृष्ट	नञ्-तत्पुरुषः,1.2	नञ्-तत्पुरुषः,1.2	CP	पहले_न_देखे_हुए_आपके_इस_आश्चर्यमय_रूप_को	never_seen_before	<<न-दृष्ट>Tn-पूर्वं>Bs6	-
1.2	दृष्ट-	-	-	दृष्ट	दृष्ट	बहुव्रीहिः,1.3	बहुव्रीहिः,1.3	CP				-
1.3	पूर्वम्	-	-	पूर्वम्{अव्य}/पूर्व{पुं;2;एक}/पूर्व{नपुं;1;एक}/पूर्व{नपुं;2;एक}/पूर्व{पुं;2;एक}/पूर्व{नपुं;1;एक}/पूर्व{नपुं;2;एक}	पूर्व{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	N2				-
2.1	हृषितः	4	हृषितोऽस्मि	हृषित{पुं;1;एक}/हृष्1{कृत्_प्रत्ययः:क्त;हृषँ;दिवादिः(हृषित;पुं;1;एक)}	हृष्1{कृत्_प्रत्ययः:क्त;हृषँ;दिवादिः(हृषित;पुं;1;एक)}	विधेयविशेषणम्,5.1	विधेयविशेषणम्,5.1	N1	हर्षित	gladdened	-	-
3.1	अस्मि	5		अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,5.1;अकर्मकः.1	अभिहित_कर्ता,5.1;अकर्मकः.1	KP	हो_रहा_हूँ	am	-	-
4.1	दृष्ट्वा	3	दृष्ट्वा	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	पूर्वकालः,3.1	पूर्वकालः,3.1	NA	देखकर	by_seeing	-	-
5.1	(अहम्)	1		(अस्मद्{सर्व;अ;1;एक})	(अस्मद्{सर्व;अ;1;एक})	कर्ता,3.1	कर्ता,3.1	N1	(मैं)	I	-	-
6.1	भयेन	9	भयेन	भय{नपुं;3;एक}	भय{नपुं;3;एक}	हेतुः,8.1	हेतुः,8.1	N3	भय_से	out_of_fear	-	-
7.1	च	8	च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	और	also	-	-
8.1	प्रव्यथितम्	10	प्रव्यथितं	प्रव्यथित{पुं;2;एक}/प्रव्यथित{नपुं;1;एक}/प्रव्यथित{नपुं;2;एक}/प्र_व्यथ्1{कृत्_प्रत्ययः:क्त;प्र_व्यथँ;भ्वादिः(प्रव्यथित;नपुं;1;एक)}	प्र_व्यथ्1{कृत्_प्रत्ययः:क्त;प्र_व्यथँ;भ्वादिः(प्रव्यथित;नपुं;1;एक)}	अभिहित_कर्ता,9.1;अकर्मकः.1	अभिहित_कर्ता,9.1;अकर्मकः.1	N1	अति_व्याकुल	perturbed	-	-
9.1	मनः	7	मनो	मनस्{नपुं;1;एक}/मनस्{नपुं;2;एक}/मनस्{नपुं;8;एक}	मनस्{नपुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	मन	mind	-	-
10.1	मे	6	मे	अस्मद्{सर्व;अ;6;एक}	अस्मद्{सर्व;अ;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	मेरा	my	-	-
11.1	तत्	11	तदेव	तद्{नपुं;1;एक}/तद्{नपुं;2;एक}	तद्{नपुं;2;एक}	विशेषणम्,16.1	विशेषणम्,16.1	N2	उस	therefore	-	-
12.1	एव	13		एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	ही	certainly	-	-
13.1	मे	14	मे	अस्मद्{सर्व;अ;4;एक}	अस्मद्{सर्व;अ;4;एक}	सम्प्रदानम्,14.1	सम्प्रदानम्,14.1	N4	मुझे	unto_me	-	-
14.1	दर्शय	15	दर्शय	दृश्1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्_णिच्;भ्वादिः}	दृश्1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्_णिच्;भ्वादिः}	अभिहित_कर्ता,19.1	अभिहित_कर्ता,19.1	KP	दिखलाइये	show	-	-
15.1	देव	12	देव	देव	देव	षष्ठी-तत्पुरुषः,15.2	षष्ठी-तत्पुरुषः,15.2	N8	देव_रूप_को	the_form_of_Lord	-	
15.2	रूपम्	-	रूपं	रूप{नपुं;1;एक}/रूप{नपुं;2;एक}	रूप{पुं;2;एक}	कर्म,13.1	कर्म,13.1	N2				-
16.1	प्रसीद	19	प्रसीद	प्र_सद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;षदॢँ;भ्वादिः}/प्र_सद1{कर्तरि;लोट्;म;एक;परस्मैपदी;षदऌँ;तुदादिः}	प्र_सद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;प्र_षदॢँ;भ्वादिः}	अभिहितकर्ता,20.1;अकर्मकः.1	अभिहितकर्ता,20.1;अकर्मकः.1	KP	प्रसन्न_होइये	just_be_gracious	-	-
17.1	देव-	16	देवेश	देव	देव	षष्ठी_तत्पुरुषः,17.2	षष्ठी_तत्पुरुषः,17.2	CP	हे_देवेश	O_Lord_of_lords	<देव-ईश>T6	-
17.2	ईश	-	-	ईश{पुं;8;एक}	ईश{पुं;8;एक}	सम्बोध्यः,16.1	सम्बोध्यः,16.1	N8				-
18.1	जगत्-	17	जगन्निवास	जगत्	जगत्	बहुव्रीहिः,18.2	बहुव्रीहिः,18.2	CP	हे_जगन्नविवास	the_refuge_of_the_universe	<जगत्-निवास>Bs6	-
18.2	निवास	-	-	निवास{पुं;8;एक}/निवास{नपुं;8;एक}	निवास{पुं;8;एक}	सम्बोध्यः,16.1	सम्बोध्यः,16.1	N8				-
19.1	(त्वम्)	18		(युष्मद्{सर्व;अ;1;एक})	(युष्मद्{सर्व;अ;1;एक})	कर्ता,15.1	कर्ता,15.1	N1	(आप)	you	-	-
20.1	(त्वम्)	18		(युष्मद्{सर्व;अ;1;एक})	(युष्मद्{सर्व;अ;1;एक})	कर्ता,16.1	कर्ता,16.1	N1	(आप)	you	-	-
